representants_id;adresse;code_postal;derniere_publication_activite;date_premiere_publication;declaration_organisation_appartenance;declaration_tiers;denomination;identifiant_national;activites_publiees;page_facebook;page_linkedin;page_twitter;site_web;nom_usage_HATVP;pays;sigle_HATVP;type_identifiant_national;ville;label_categorie_organisation
0;12 RUERAOUL NORDLING;92270;;08/07/2019 16:23:54;False;False;STORENGY;833718653;False;;;;;STORENGY SAS;FRANCE;;SIREN;BOIS COLOMBES;Société commerciale
1;"UNION DES PORTS DE FRANCE
8 PLACE DU GENERAL CATROUX";75017;;05/07/2019 16:50:18;True;False;UNION DES PORTS DE FRANCE;319617635;False;;;;;;FRANCE;;SIREN;PARIS;Organisation professionnelle
2;"FEDERAT SCE AUX PARTICULIERS F E S P
48 BOULEVARD DE LA TOUR MAUBOURG";75007;11/07/2019 15:59:31;11/07/2019 15:23:46;True;False;FEDERATION DU SERVICE AUX PARTICULIERS F.E.S.P.;491820510;True;;;;https://www.fesp.fr/;;FRANCE;;SIREN;PARIS;Organisation professionnelle
3;10 B AVDE LA GRANDE ARMEE;75017;;12/09/2019 09:16:33;False;True;IMAGE ET DIALOGUE;492587472;False;;;;http://www.lambassade.agency/;;FRANCE;;SIREN;PARIS 17;Société commerciale
4;"79, rue Périer
Fédération Nationale des Syndicats d'Internes en Pharmacie et Biologie Médicale c/o FAGE";92120;;22/11/2019 12:13:02;True;False;FEDE NAT SYNDICATS INTERNES EN PHARMACIE;421352212;False;https://www.facebook.com/fnsip/?eid=ARAPFi0GbavoPr_CaNjtL21CgkIUMyVzMTgMqeX44bZChZZ3_VUTYnJtmrzvenUvvBuaaUP0s85a2DI0;https://www.linkedin.com/in/fnsip-bm-b9306187/;https://twitter.com/fnsip_bm;http://www.fnsipbm.fr/;;FRANCE;;SIREN;MONTROUGE;Syndicat
5;;75018;;08/07/2019 14:32:25;False;True;KAIROS MSC;818757601;False;;;;;;FRANCE;;SIREN;PARIS 18;Consultant indépendant
6;;75012;11/07/2019 16:43:59;27/06/2019 11:41:55;False;False;ASS INNOVAT SCIENCES ANALYSES;479483315;True;;;;https://aisa-asso.fr;;FRANCE;;SIREN;PARIS 12;Association
7;;75013;29/03/2019 18:07:59;29/03/2019 18:06:37;False;False;SOS MEDECINS FRANCE;520043373;True;;;;;;FRANCE;;SIREN;PARIS;Association
8;;78300;;11/04/2019 23:04:36;False;False;FRANCE PLAIDOYER;843941998;False;https://www.facebook.com/FrancePlaidoyer/;https://www.linkedin.com/company/france-plaidoyer;https://twitter.com/FrancePlaidoyer;https://www.franceplaidoyer.fr;;FRANCE;;SIREN;POISSY;Association
9;;75005;29/05/2019 15:37:49;07/05/2019 18:12:34;False;False;PARIS ANIMAUX ZOOPOLIS;H240456298;True;;;;https://zoopolis.fr/;;FRANCE;;HATVP;PARIS;Association
10;"FFC REPARATEURS
8 RUE BERNARD BUFFET";75017;02/04/2019 10:43:39;27/04/2018 16:37:10;True;True;GROUPEMENT NAT CARROSSIERS REPARATEURS;392828653;True;;;;;FÉDÉRATION FRANÇAISE DE CARROSSERIE INDUSTRIES ET SERVICES;FRANCE;FFC REPARATEURS;SIREN;PARIS;Organisation professionnelle
11;"ORACLE FRANCE
BOULEVARD CHARLES DE GAULLE
15 BOULEVARD CHARLES DE GAULLE
CS 30015";92715;;01/07/2019 10:29:13;True;False;ORACLE FRANCE;335092318;False;https://www.facebook.com/Oracle/;https://www.linkedin.com/company/oracle/;https://twitter.com/Oracle_France;https://www.oracle.com;;FRANCE;;SIREN;COLOMBES CEDEX;Société commerciale
12;Cité Moulin à Vent Batiment HARMATTAN B7 ;97231;;09/07/2019 15:00:26;False;False;CENTRE DE VALORISATION DES ACTEURS DE LA MEDIATION;753678028;False;https://www.facebook.com/CVAM-864290653611935/notifications/;;;;;FRANCE;;SIREN;ROBERT;Association
13;1 RUEDU DOCTEUR FRERY;90000;;26/04/2019 10:52:52;False;False;CHAMBRE COMMERCE ET INDUSTRIE DE BELFORT;189000037;False;https://www.facebook.com/CCI90;https://fr.linkedin.com/company/chambre-de-commerce-et-d'industrie-du-territoire-de-belfort;https://twitter.com/CCI90;http://www.belfort.cci.fr/;;FRANCE;;SIREN;BELFORT;Chambre consulaire
