beneficiaire_action_menee;action_representation_interet_id;action_menee_en_propre
FEDERATION DU SERVICE AUX PARTICULIERS F.E.S.P.;0;1
ASS INNOVAT SCIENCES ANALYSES;1;1
SOS MEDECINS FRANCE;2;1
SOS MEDECINS FRANCE;3;1
PARIS ANIMAUX ZOOPOLIS;4;1
PARIS ANIMAUX ZOOPOLIS;5;1
PARIS ANIMAUX ZOOPOLIS;6;1
PARIS ANIMAUX ZOOPOLIS;7;1
PARIS ANIMAUX ZOOPOLIS;8;1
PARIS ANIMAUX ZOOPOLIS;9;1
PARIS ANIMAUX ZOOPOLIS;10;1
GROUPEMENT NAT CARROSSIERS REPARATEURS;11;1
UNION DES REPARATEURS AUTOMOBILES DE LA GUADELOUPE;12;0
EUROPAUTO SOC EXPL GARAGE HEYRITZ;12;0
GARAGE ANTHONY;12;0
SARL GARAGE OBERLE;12;0
CARROSSERIE KNORR;12;0
SARL GARAGE KLEIN FRERES;12;0
OUEST AUTOMOBILE;12;0
GARAGE SOHM;12;0
GARAGE BADINA;12;0
SARL TRITZ PIERRE;12;0
CARROSSERIE MATTHAEY;12;0
CARROSSERIE MULLER - WACHENHEIM;12;0
GARAGE TRITZ JEAN-PIERRE ET FILS;12;0
GRUBER AUTOMOBILE;12;0
GARAGE MEICHEL;12;0
BAUER ALFRED GEORGES;12;0
GARAGE SUSS;12;0
SOC.EXPL.DU GARAGE MALDONADO;12;0
GARAGE LAAS;12;0
CARROSSERIE THOMANN;12;0
ESPACE AUTOMOBILES SAUSHEIM;12;0
FREY FREDERIC;12;0
CARROSSERIE BITSCHENE;12;0
GARAGE AU VIEIL ARMAND;12;0
VERGEAU PHILIPPE LAURENT;12;0
CARROSSERIE LAIN;12;0
GAVIN SERGE HENRI;12;0
CARROSSERIE GUICHARD;12;0
CARROSSERIE BELNARD;12;0
CARROSSERIE PEINTURE MOREAU;12;0
CARROSSERIE LEBEAU;12;0
CARROSSERIE FAVREAU;12;0
AUDIGIE ESPACE AUTO;12;0
CARROSSERIE BEURRIER SARL;12;0
THIBAUDEAU CARROSSERIE;12;0
LANDRAUD LAURENT;12;0
CHENIN THIERRY;12;0
COSTARD MICKAEL;12;0
LANDRAUD DANIEL ET MICHEL SARL;12;0
SARL FAVIER;12;0
CARROSSERIE DE LA GARE GRENIER ET FILS;12;0
CARROSSERIE PUJOL ET FILS;12;0
ROUGIER YOANN;12;0
CARROSSERIE PAUTARD ET FILS;12;0
FAUGEDIS;12;0
CARROSSERIE AUTOMOBILE COOPERATIVE;12;0
CARROSSERIE MARC DUMAS;12;0
CARROSSERIE GARON;12;0
CARROSSERIE SAINT LAURENTAISE;12;0
EURL DUMARTIN;12;0
VASCOES;12;0
CARROSSERIE BOUFFET;12;0
CARROSSERIE D FRANCISCO;12;0
CARROSSERIE KACI;12;0
ABBERIS;12;0
CARROSSERIE VINCENDEAU;12;0
SARL XAVIER ALEXANDRE;12;0
ACCI-AUTO CARROSSERIE;12;0
CARROSSERIE CLAVERES;12;0
BECHEMIN JEAN PHILIPPE;12;0
CARROSSERIE DEBEST;12;0
SARL JEAN-PAUL VIAUD;12;0
GARAGE DARROMAN;12;0
CARROSSERIE HERRAN;12;0
PREMIUM CARROSSERIE;12;0
CARROSSERIE PELISSOU;12;0
CARROSSERIE JEAN SAYO SARL;12;0
CARROSSERIE HABEN SARL;12;0
CARROSSERIE TRAISSAC;12;0
DEBOSS'CAR;12;0
GARRAN AUTOS;12;0
CARROSSERIE BEGLAISE SARL;12;0
JLR INVESTISSEMENTS;12;0
CARROSSERIE MARTEL - DA COSTA;12;0
CARROSSERIE DES TABERNOTTES;12;0
DUREAU JEAN CHRISTOPHE;12;0
RABEL AUTOS;12;0
NARDOU PATRICK CHARLES;12;0
DIAZ MAROTTO STEPHANE;12;0
CARROSSERIE PITAUD SARL;12;0
CARROSSERIE LEYSSALLE FILS;12;0
SMB CAR;12;0
