action_menee;action_representation_interet_id;action_menee_autre
Organiser des discussions informelles ou des réunions en tête-à-tête;0;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;0;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;0;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;1;
Organiser des discussions informelles ou des réunions en tête-à-tête;2;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;2;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;2;
Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;2;
Etablir une correspondance régulière (par courriel, par courrier…);2;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;2;
Organiser des discussions informelles ou des réunions en tête-à-tête;3;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3;
Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;3;
Etablir une correspondance régulière (par courriel, par courrier…);3;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;3;
Organiser des discussions informelles ou des réunions en tête-à-tête;4;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4;
Organiser des débats publics, des marches, des stratégies d'influence sur internet;4;
Envoyer des pétitions, lettres ouvertes, tracts;4;
Etablir une correspondance régulière (par courriel, par courrier…);4;
Organiser des discussions informelles ou des réunions en tête-à-tête;5;
Envoyer des pétitions, lettres ouvertes, tracts;5;
Etablir une correspondance régulière (par courriel, par courrier…);5;
Organiser des discussions informelles ou des réunions en tête-à-tête;6;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;6;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;6;
Organiser des débats publics, des marches, des stratégies d'influence sur internet;6;
Envoyer des pétitions, lettres ouvertes, tracts;6;
Etablir une correspondance régulière (par courriel, par courrier…);6;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;6;
Organiser des discussions informelles ou des réunions en tête-à-tête;7;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;7;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;7;
Organiser des débats publics, des marches, des stratégies d'influence sur internet;7;
Envoyer des pétitions, lettres ouvertes, tracts;7;
Etablir une correspondance régulière (par courriel, par courrier…);7;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;7;
Organiser des discussions informelles ou des réunions en tête-à-tête;8;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;8;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;8;
Organiser des débats publics, des marches, des stratégies d'influence sur internet;8;
Envoyer des pétitions, lettres ouvertes, tracts;8;
Etablir une correspondance régulière (par courriel, par courrier…);8;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;8;
Organiser des discussions informelles ou des réunions en tête-à-tête;9;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;9;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;9;
Organiser des débats publics, des marches, des stratégies d'influence sur internet;9;
Envoyer des pétitions, lettres ouvertes, tracts;9;
Etablir une correspondance régulière (par courriel, par courrier…);9;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;9;
Organiser des discussions informelles ou des réunions en tête-à-tête;10;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;10;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;10;
Organiser des débats publics, des marches, des stratégies d'influence sur internet;10;
Envoyer des pétitions, lettres ouvertes, tracts;10;
Etablir une correspondance régulière (par courriel, par courrier…);10;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;10;
Organiser des discussions informelles ou des réunions en tête-à-tête;11;
Organiser des discussions informelles ou des réunions en tête-à-tête;12;
Organiser des discussions informelles ou des réunions en tête-à-tête;13;
Organiser des discussions informelles ou des réunions en tête-à-tête;14;
Organiser des discussions informelles ou des réunions en tête-à-tête;15;
Organiser des discussions informelles ou des réunions en tête-à-tête;16;
Organiser des discussions informelles ou des réunions en tête-à-tête;17;
Organiser des discussions informelles ou des réunions en tête-à-tête;18;
Autres : à préciser;19;Action de communication pour faire connaitre le PIMMS et son réseau
Organiser des discussions informelles ou des réunions en tête-à-tête;20;
Organiser des discussions informelles ou des réunions en tête-à-tête;21;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;22;
Organiser des discussions informelles ou des réunions en tête-à-tête;23;
Organiser des discussions informelles ou des réunions en tête-à-tête;24;
Organiser des discussions informelles ou des réunions en tête-à-tête;25;
Organiser des discussions informelles ou des réunions en tête-à-tête;26;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;27;
Organiser des discussions informelles ou des réunions en tête-à-tête;28;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;28;
Organiser des discussions informelles ou des réunions en tête-à-tête;29;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;29;
Organiser des discussions informelles ou des réunions en tête-à-tête;30;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;30;
Organiser des discussions informelles ou des réunions en tête-à-tête;31;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;31;
Organiser des discussions informelles ou des réunions en tête-à-tête;32;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;32;
Organiser des discussions informelles ou des réunions en tête-à-tête;33;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;33;
Organiser des discussions informelles ou des réunions en tête-à-tête;34;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;34;
Organiser des discussions informelles ou des réunions en tête-à-tête;35;Proposer avec d'autres organisations un guide d'application pratique
Autres : à préciser;35;Proposer avec d'autres organisations un guide d'application pratique
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;35;Proposer avec d'autres organisations un guide d'application pratique
Organiser des discussions informelles ou des réunions en tête-à-tête;36;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;36;
Organiser des discussions informelles ou des réunions en tête-à-tête;37;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;37;
Organiser des discussions informelles ou des réunions en tête-à-tête;38;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;38;
Organiser des discussions informelles ou des réunions en tête-à-tête;39;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;39;
Organiser des discussions informelles ou des réunions en tête-à-tête;40;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;40;
Organiser des discussions informelles ou des réunions en tête-à-tête;41;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;41;
Organiser des discussions informelles ou des réunions en tête-à-tête;42;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;42;
Organiser des discussions informelles ou des réunions en tête-à-tête;43;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;43;
Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;44;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;44;
Etablir une correspondance régulière (par courriel, par courrier…);44;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;45;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;45;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;46;
Etablir une correspondance régulière (par courriel, par courrier…);46;
Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;47;
Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;47;
