action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
0;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
0;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
0;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
0;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé, Economie et finances;;
1;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
1;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
2;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
2;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
3;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
4;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
4;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
4;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
4;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
4;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Environnement, énergie et mer;;
5;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Mairie de Paris et Élu-es de Paris
5;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Mairie de Paris et Élu-es de Paris
6;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
6;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
6;Membre du Gouvernement ou membre de cabinet ministériel; Intérieur;
6;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
6;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
6;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Intérieur, Environnement, énergie et mer;;
7;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Mairie de Paris et élu-es de Paris
7;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Mairie de Paris et élu-es de Paris
8;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Mairie de Paris et élu-es de Paris
8;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Mairie de Paris et élu-es de Paris
9;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
9;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
9;Membre du Gouvernement ou membre de cabinet ministériel; Intérieur;
9;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
9;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
9;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Intérieur, Environnement, énergie et mer;;
10;Membre du Gouvernement ou membre de cabinet ministériel;Défense;Maire de Paris et élu-es de Paris
10;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Maire de Paris et élu-es de Paris
10;Membre du Gouvernement ou membre de cabinet ministériel - Défense, Autres : à préciser;;Maire de Paris et élu-es de Paris
11;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
11;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
14;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
14;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
14;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
15;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
15;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur;;
16;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
16;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
16;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
