civilite_dirigeant;fonction_dirigeant;nom_dirigeant;prenom_dirigeant;representants_id;nom_prenom_dirigeant
MME;Présidente Exécutive;PREVIEU;Cécile;0;PREVIEU Cécile
M;Président;MARTEL;Hervé;1;MARTEL Hervé
M;Président;AÏACH;Maxime;2;AÏACH Maxime
M;Vice-président;STAUB;Guillaume;2;STAUB Guillaume
M;Directeur général;PERALDI;Olivier;2;PERALDI Olivier
M;Président;GUERIN;Olivier;3;GUERIN Olivier
M;Coprésident Pharmacie;DENIS;Lucas;4;DENIS Lucas
MME;Coprésidente Biologie Médicale;TRUFFOT;Aurélie;4;TRUFFOT Aurélie
M;Président;SASSIER;Matthieu;5;SASSIER Matthieu
M;Trésorier;AUSSEL;Christian;6;AUSSEL Christian
M;Secrétaire général;VAUBOURDOLLE;Michel;6;VAUBOURDOLLE Michel
M;Président;CYNOBER;Luc;6;CYNOBER Luc
M;Président;JUAN;Pierre-Henry;7;JUAN Pierre-Henry
M;Secrétaire général;SMADJA;Serge;7;SMADJA Serge
M;Président;VALLESPI;Emeric;8;VALLESPI Emeric
MME;présidente;SANVISENS;Amandine;9;SANVISENS Amandine
M;PRESIDENT;NARDOU;Patrick;10;NARDOU Patrick
M;Président;MASSET;Philippe;11;MASSET Philippe
M;Président;COULIS;Fabrice;12;COULIS Fabrice
M;Président;SEID;Alain;13;SEID Alain
M;1er vice-Président;VIELLARD;Emmanuel;13;VIELLARD Emmanuel
M;Vice-Président;DEROIN;Louis;13;DEROIN Louis
M;Vice-Président;JAECK;Jacques;13;JAECK Jacques
MME;Secrétaire;WAGNER;Sandrine;13;WAGNER Sandrine
M;Trésorier;ALBIZATI;Alain;13;ALBIZATI Alain
M;Trésorier Adjoint;BALDUINI;Dominique;13;BALDUINI Dominique
MME;Secrétaire;DAUDET;Edith;13;DAUDET Edith
M;PRESIDENT;GRUNBERG;Olivier;14;GRUNBERG Olivier
MME;Directrice générale;WEBER;Caroline;15;WEBER Caroline
M;Président;CEOLIN;Dominique;15;CEOLIN Dominique
MME;Présidente;LE ROUEIL;Anne-Marie;16;LE ROUEIL Anne-Marie
MME;Vice Présidente;VERMEULEN;Caroline;16;VERMEULEN Caroline
M;President;PUCHE;Vincent;17;PUCHE Vincent
M;Directeur Général;CASTAGNÉ;Régis;18;CASTAGNÉ Régis
M;Président;GIOVACHINI;Laurent;19;GIOVACHINI Laurent
M;Président de l'OVE;PIOT;François;20;PIOT François
M;Cofondateur et Président;NIOX-CHATEAU;Stanislas;21;NIOX-CHATEAU Stanislas
M;Président;AUBERT;Jack;22;AUBERT Jack
M;Délégué général;DUBOIS;Michael;22;DUBOIS Michael
M;Président du Conseil d'Administration;SAUVÉ;Jean-Marc;23;SAUVÉ Jean-Marc
M;Directeur Général;TRUELLE;Nicolas;23;TRUELLE Nicolas
M;Directeur général;JOUTEAU;Antoine;24;JOUTEAU Antoine
M;Directeur général adjoint;COLLINET;Alexandre;24;COLLINET Alexandre
M;PRESIDENT;SANCHEZ;Marc;25;SANCHEZ Marc
M;Dirigeant;FERRAND;Rémi;26;FERRAND Rémi
M;Mandataire autorisé;CHO;Yong Hui;27;CHO Yong Hui
M;Président;BORNHAUSER;Marc;28;BORNHAUSER Marc
