representants_id;denomination_affiliation;identifiant_national_affiliation;type_identifiant_national_affiliation
1;LE CLUSTER MARITIME FRANCAIS;489847624;SIREN
2;MOUVEMENT ENTREPRISE FRANCE INTERNATIONA;378236376;SIREN
2;GROUPEMENT DES PROFESSIONS DE SERVICES;477942114;SIREN
4;FEDERATION ASS GENERALES ETUDIANTES;397834425;SIREN
10;FEDERATION FRANCAISE CARROSSERIE;784717019;SIREN
11;SYNTEC NUMERIQUE;384719001;SIREN
11;AMERICAIN CHAMBER OF COMMERC;784357329;SIREN
14;FRANCE MEDIATION RESEAU D'ACTEURS DE LA MEDIATION SOCIALE;508093812;SIREN
16;CONFED NAT ARTISAN DES METIER ET SERVICE;784409211;SIREN
16;UNION DES ENTREPRISES DE PROXIMITE;349681098;SIREN
17;CHAMBRE NALE CONSEILLERS INVESTISSEMENT FINANCIER;489247676;SIREN
17;ASSOCIATION POUR LA GESTION PARTICIPATIVE L'EPARGNE SALARIALE ET L'ACTIONNARIAT DE RESPONSABILITE FONDACT;W751054005;RNA
17;INSTITUT FRANCAIS DE L'AUDIT ET DU CONTROLE INTERNES IFACI;W751035157;RNA
18;FRANCE DATACENTER;534233887;SIREN
21;INTEROP'SANTE;389297342;SIREN
21;FRANCE DIGITALE;791772445;SIREN
21;CAP DIGITAL;489749291;SIREN
23;UNION NAT INTER OEUVRE PRIVE SANIT SOCIA;775672223;SIREN
23;UNION NATIONALE DES ORGANISMES FAISANT APPEL AUX GENEROSITES;497918375;SIREN
23;CENTRE FRANCAIS DES FONDATIONS;444560080;SIREN
23;VERS LE HAUT;W921004290;RNA
24;UNION NATIONALE POUR LA PROMOTION ET LE DEVELOPPPEMENT DE LA LOCATION DE VACANCES;W751216334;RNA
24;ASS INTERNET ADVERTISING BUREAU;433370152;SIREN
24;SYNDICAT DES REGIES INTERNET;482600806;SIREN
24;FEDERATION ENTREPRISES VENTE A DISTANCE;784854994;SIREN
27;IFACI CERTIFICATION;449543461;SIREN
27;SYND NATION INDUST TECHNOL MEDICALES;307330845;SIREN
27;GPT INDUSTRIEL FRANCAIS APPAREIL MENAGER;784669111;SIREN
27;ALLIANCE FRANCAISE DES INDUSTRIES DU NUMERIQUE;438608630;SIREN
27;FORUM DE LA TELEVISION MOBILE;490418571;SIREN
27;FEDER ENTR INDUST COMM INTERN MECANIQ;784311854;SIREN
27;GROUP INDUS CONNEX REGION PARI;785425844;SIREN
28;FEDERATION NATIONALE DROIT ENTREPRISE;775589252;SIREN
28;GROUPEMENT FRANCAIS DE L'ASSOCIATION FISCALE INTERNATIONALE;799832076;SIREN
30;ENTREPRENEURS DES TERRITOIRES;784450835;SIREN
30;FEDERATION DEPARTEMENTALE DES ENTREPRENEURS DE TRAVAUX AGRICOLES RURAUX ET FORESTIERS DE LA MAYENNE;852659457;SIREN
32;FEDERATION FRANCAISE DU BATIMENT;784668642;SIREN
33;FNDF;801076522;SIREN
33;SYNDICAT DE L'EDITION VIDEO NUMERIQUE;342560133;SIREN
33;ASS DES CHAINES DU CABLE ET DU SATELLITE;417740743;SIREN
34;UNION NATIONAL INDUS CARRIERE MATERIEL;784717043;SIREN
35;ASS NATIONALE IND. AGRO ALIMENTAIRES;302664784;SIREN
36;ASS FRANCAISE PROFESSIONNELS DES TITRES;400427910;SIREN
36;ASS FRANCAISE ENTREPRISES INVESTISSEMENT;348036278;SIREN
38;UNION NATIONALE DES ORGANISMES FAISANT APPEL AUX GENEROSITES;497918375;SIREN
38;COORDI SOLIDARITE URGENCE DEVELOPPEMENT;398699538;SIREN
38;CONSEIL MONDIAL DE L'EAU;409884319;SIREN
39;ASS FRANCAISE DE LA GESTION FINANCIERE;784362584;SIREN
41;FEDERATION NATIONALE MUTUALITE FRANCAISE;304426240;SIREN
42;CONSEIL DU COMMERCE DE FRANCE;784856528;SIREN
42;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
42;COOP FR LES ENTREPRISES COOPERATIVES;317165728;SIREN
42;INDEPENDENT RETAIL EUROPE;H000000014;HATVP
47;MOUV ENTREPRI FRANCE MEDEF ILE DE FRANCE;784717423;SIREN
49;MEDTECH IN FRANCE;W921003279;RNA
50;COLLECTIF NATIONAL DROITS DE L HOMME ROMEUROPE;501420889;SIREN
50;COLLECTIF INTERASSOCIATIF SUR LA SANTE ILE DE FRANCE CISS ILE DE FRANCE;494860430;SIREN
50;CENTRE PRIMO LEVI;401121355;SIREN
50;COMMISSION NAT CONSULTATIVE DROITS HOMME;110000197;SIREN
50;PLATEFORME ONG FRANCAISES PALESTINE;433238037;SIREN
50;COORDI SOLIDARITE URGENCE DEVELOPPEMENT;398699538;SIREN
50;UNION NATIONALE DES ORGANISMES FAISANT APPEL AUX GENEROSITES;497918375;SIREN
50;OBSERVATOIRE DU DROIT A LA SANTE DES ETRANGERS;H642492785;HATVP
50;COORDINATION FRANCAISE POUR LE DROIT D'ASILE;H898019463;HATVP
50;UNION NAT INTER OEUVRE PRIVE SANIT SOCIA;775672223;SIREN
51;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
53;COOP FR LES ENTREPRISES COOPERATIVES;317165728;SIREN
53;OFFICE COORDINATION BANCAIRE FINANCIERE;784411340;SIREN
54;GYNECOLOGIE SANS FRONTIERE;433299179;SIREN
54;ASS MEDECINE RECHERCHE EN AFRIQUE;438971426;SIREN
54;ASS NALE DES  ETUDIANTS SAGES FEMMES;491765848;SIREN
54;SOCIETE FRANCAISE DE TELEMEDECINE ANTEL (SFT ANTEL);533650412;SIREN
54;COMITE DE LIAISON DES INSTITUTIONS ORDINALES - CLIO;W751189349;RNA
58;ASS  A F E C E I;428419287;SIREN
59;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
59;ASS CONFEDERATION FRANCAISE AVICULTURE;439775461;SIREN
59;ASS GENERALE DES PRODUCTEURS DE MAIS;782357040;SIREN
59;FNSEA NOUVELLE-AQUITAINE;419743729;SIREN
60;FEDERATION DE L'HOSPITALISATION PRIVEE;439676578;SIREN
61;CONFEDERATION FRANCAISE METIERS D'ART;784718132;SIREN
61;FED FRANC BIJOU JOAILLER ORFEV;788262822;SIREN
62;MOUVEMENT DES ENTREPRISES DE FRANCE;775347453;SIREN
62;ALLIANCE 46.2 ENTREPRENDRE EN FRANCE POUR LE TOURISME;801265836;SIREN
62;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
62;FED FSE COUT PRET PORTER COUT CREATMODE;423488196;SIREN
62;COMITE COLBERT;784179012;SIREN
62;COMITE FRANCE CHINE;315982454;SIREN
63;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
63;FEDERATION DES ENTREPRISES  DE LA BEAUTE;784717167;SIREN
63;LE CERCLE DE L'INDUSTRIE;394192389;SIREN
63;UNION DES ANNONCEURS;784669533;SIREN
63;INSTITUT DE L ENTREPRISE;302655154;SIREN
63;INSTITU LIAISON ETUDES INDUSTR CONSOMM;784671075;SIREN
63;MOUVEMENT ENTREPRISE FRANCE INTERNATIONA;378236376;SIREN
64;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
65;ASS DE LUTTE CONTRE LA PIRATERIE AUDIOVI;339337255;SIREN
65;UNION INTERNATIONALE DES CINEMAS;H413665340;HATVP
66;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
66;ASS INTERPROF DES FRUITS & LEGUMES FRAIS;308647395;SIREN
67;ASSOCIATION POUR LA PROMOTION DE L'INNOVATION DES DISPOSITIFS MEDICAUX APIDIM.;W751184083;RNA
67;SYND NATION INDUST TECHNOL MEDICALES;307330845;SIREN
69;UNION FABRIC. PROTECT PROPRIETE INDUST.;784668709;SIREN
69;SPORSORA;420523425;SIREN
69;FRANCE ESPORTS;W751236754;RNA
69;INTERACTIVE SOFTWARE FEDERATION OF EUROPE;H685466042;HATVP
70;A.F.I.S.E;784204539;SIREN
70;UNION POUR L'ENTREPRISE ALPES MARITIMES;307525436;SIREN
70;FRANCE CHIMIE;784358855;SIREN
72;COORDI SOLIDARITE URGENCE DEVELOPPEMENT;398699538;SIREN
72;INSTITUT POUR LE DEVELOPPEMENT DES GENEROSITES;519167357;SIREN
73;F.R.S.E.A. SUD OUEST;790273155;SIREN
73;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
73;FED REG SYNDICATS EXPLOITANT AGRICOLES;414733477;SIREN
74;CHAMBRE FRANÇAISE DE L'ECONOMIE SOCIALE ET SOLIDAIRE;W751226598;RNA
75;SYNTEC ETUDES MARKETING OPINION;419802756;SIREN
76;SYNDICAT NATIONAL DU CAOUTCHOUC ET DES POLYMERES;784357485;SIREN
76;CONSEIL NATIONAL PROFESSIONS AUTOMOBILE;775688450;SIREN
77;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
77;CONSEIL DU COMMERCE DE FRANCE;784856528;SIREN
79;JEUNES AGRICULTEURS HAUTS DE FRANCE;397772385;SIREN
80;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
83;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
83;FRSEA BOURGOGNE FRANCHE COMTE;442375820;SIREN
86;UNION DES ENTREPRISES DE PROXIMITE;349681098;SIREN
91;ANIMA'FAC;408560209;SIREN
91;PLATEFORME FRANCAISE EDUCATION DEVELOPPEMENT ET A LA SOLIDARITE INTERNATIONALE;801337155;SIREN
91;COORDI SOLIDARITE URGENCE DEVELOPPEMENT;398699538;SIREN
92;ALLIANCE DES COMPOSANTS ET SYSTEMES POUR L'INDUSTRIE ELECTRONIQUE;798778965;SIREN
94;TRANSPARENCY INTERNATIONAL FRANCE;425138393;SIREN
95;UNION DE LA PUBLICITE EXTERIEURE;303026280;SIREN
96;SYNDICAT FRANCAIS INDUSTRIE CIMENTIERE;784359846;SIREN
96;CIMBETON;394398309;SIREN
96;ASS TECHNIQUE INDUSTRIE LIANT HYDRAULIQU;342432580;SIREN
96;UNICEM ILE DE FRANCE;488379710;SIREN
96;SYNDICAT NATIONAL BETON PRET EMPLOI;314817677;SIREN
96;FONDATION D'ENTREPRISE ECOLE FRANCAISE DU BETON;789254919;SIREN
96;BETOCIB;300575479;SIREN
96;UNION NATIONALE PRODUCTEURS GRANULATS;434788972;SIREN
97;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
97;CONFEDERATION GENERALE ALIMENTAT.DETAIL;784717225;SIREN
97;ASS INTERPROF DES FRUITS & LEGUMES FRAIS;308647395;SIREN
97;CONFEDERATION DU COMMERCE NON SEDENTAIRE DE L'ALIMENTATION;817524572;SIREN
97;COMITE NAT INTERP POMME DE TER;310838198;SIREN
97;ASSOCIATION INTERPROFESSIONNELLE DE LA BANANE;790971329;SIREN
97;AGCE RECHERC INFORMAT FRUITS LEGUMES FRA;323687624;SIREN
97;CONFED COMMERC DETAIL FRANCE;784450231;SIREN
97;SYNDICAT CGAD ILE DE FRANCE;419531140;SIREN
97;CENTRE TECHNIQ INTERPROF FRUITS LEGUMES;775675796;SIREN
101;INSTITUT DE L'ECONOMIE CIRCULAIRE;790867493;SIREN
101;CONFED GENERALE PETITES MOYENNES ENTREPR;316809367;SIREN
101;RUDOLOGIA;441319894;SIREN
101;CERCLE NATIONAL DU RECYCLAGE (C.N.R.);H147962735;HATVP
102;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
103;ASSO CONSEIL NAT PROTECT CIVILE CNPC;490870995;SIREN
103;ASSOCIATION FRANCAISE DE NORMALISATION;775724818;SIREN
103;CONSEIL DES INDUSTRIES DE LA CONFIANCE ET DE LA SECURITE;829519289;SIREN
103;AGENCE QUALITE CONSTRUCTION;327215695;SIREN
103;ASSOCIATION FRANCAISE ECLAIRAGE;784360190;SIREN
103;FEDERATION DES INDUSTRIES MECANIQUES;775671688;SIREN
104;GROUPEMENT SYNDICAT SYNTEC ETUDE CONSEIL;420512766;SIREN
105;ASS FRANCAISE DE LA GESTION FINANCIERE;784362584;SIREN
106;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
106;CENTRE NAT INTERPRO ECONOMIE LAITIERE;300817954;SIREN
106;CONFEDERATION NATIONALE DE L ELEVAGE;378479877;SIREN
106;INSTITUT DE L'ELEVAGE;302984158;SIREN
106;ASSOCIATION SOLAAL;799591946;SIREN
107;SYND INDUST MEDICAM VETERIN REACTIF;423203645;SIREN
108;LES ENTREPRISES DU MEDICAMENT;784668543;SIREN
108;MOUVEMENT DES ENTREPRISES DE FRANCE;784668618;SIREN
108;G5;W784002012;RNA
108;UNION DES FABRICANTS POUR LA PROTECTION INTERNATIONALE DE LA PROPRIETE DE LA PROPRIETE INTELLECTUELLE;W751045316;RNA
108;INDUSTRIE SANTE;308287358;SIREN
108;COOPERATION SANTE;441757762;SIREN
108;EURO POLITIC;448272773;SIREN
108;ASS FRANC DE IND PHARMA POUR UNE AUTOMED;414839126;SIREN
109;ASA CENTRE REGIONAL JEUNES AGRICULTEURS;389241050;SIREN
110;FEDERAT ENSEIGNES COMMERCE ASSOCIE FCA;784410292;SIREN
112;UNION POUR L'ENTREPRISE ALPES MARITIMES;307525436;SIREN
112;OPEN INTERNET PROJECT (OIP);W923004941;RNA
112;FRENCH TECH COTE D'AZUR;822042990;SIREN
112;SYNTEC NUMERIQUE;384719001;SIREN
112;ALLIANCE FRANCAISE DES INDUSTRIES DU NUMERIQUE;438608630;SIREN
113;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
116;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
116;ALLIANCE DES MINERAIS MINERAUX ET METAUX - A3M;801944315;SIREN
116;LE CERCLE DE L'INDUSTRIE;394192389;SIREN
116;CHAMBRE DE COMMERCE INTERNATIONALE;784357337;SIREN
117;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
121;ASSOCIATION DE MEDIATION ET D'ARBITRAGE PROFESSIONNEL DE L'AUDIOVISUEL;753747914;SIREN
122;UNION RHONE ALPES CGPME;403151368;SIREN
122;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
123;ASSOCIATION DES CHAINES PRIVEES;507862811;SIREN
123;FEDERATION ENTREPRISES VENTE A DISTANCE;784854994;SIREN
123;ASS DE LUTTE CONTRE LA PIRATERIE AUDIOVI;339337255;SIREN
123;SYNDICAT NATIONAL PUBLICITE TELEVISEE;421240508;SIREN
123;ASS DES CHAINES DU CABLE ET DU SATELLITE;417740743;SIREN
124;JEUNES AGRICULTEURS DES PAYS DE LA LOIRE;379678758;SIREN
131;ALLIANCE FRANCAISE DES INDUSTRIES DU NUMERIQUE;438608630;SIREN
132;INSTITUT FILTRATION TECHNIQUE SEPARATIVE;322790403;SIREN
132;ASSOCIAT TECHNIQUE ENERGIE ENVIRONNEMENT;315062786;SIREN
132;ASS SCIENTIFIQUE TECH EAU ENVIRON;784717050;SIREN
132;DIRIGEANTS COMMERCIAUX DE FRANCE;395238397;SIREN
132;FEDERATION DE LA VENTE DIRECT;784856064;SIREN
132;ARPP AUTORITE DE REGULATION PROFESSIONNELLE DE LA PUBLICITE;307287193;SIREN
132;AFNOR CERTIFICATION;479076002;SIREN
132;ASS INGEN CHAUFF VENTIL FR;775676331;SIREN
134;ASSOCIATION DES FOURNISSEURS DE TABACS A FUMER;821297355;SIREN
134;UNION FABRIC. PROTECT PROPRIETE INDUST.;784668709;SIREN
134;UNION PATRONALE DEPARMENTALE - MEDEF PARIS;398327098;SIREN
134;FRANCE VAPOTAGE;834189805;SIREN
135;ASSOCIATION FRANCAISE DES MARCHES FINANCIERS AMAFI;W751085070;RNA
135;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
135;PARIS EUROPLACE;W751107990;RNA
136;OPEN KNOWLEDGE F. FRANCE;798488102;SIREN
136;ALTER-EU COALITION;H896462854;HATVP
137;UNION PATRONALE DEPARMENTALE - MEDEF PARIS;398327098;SIREN
137;PLANETE COURTIER;821158631;SIREN
137;CENTRE NATIONAL PROFESSSIONS FINANCIERES;784854069;SIREN
137;FEDERATION FRANCAISE DE L ASSURANCE (FFA);784409013;SIREN
138;RESEAU ACTION CLIMAT FRANCE;422466201;SIREN
138;RESEAU CONSIGNE;847558368;SIREN
141;CONSEIL NATION ORDRE ARCHITECT;784356354;SIREN
143;SYNDICAT NATIONAL FABRIC SUCRE SNFS;775688484;SIREN
143;ASS INTERPRO BETTERAVE SUCRE - AIBS;452400724;SIREN
143;SYND NAT PRODUCTEURS ALCOOL AGRICOLE;784178113;SIREN
144;CHAMBRE DE COMMERCE D'INDUSTRIE DE L'AIN;180130015;SIREN
146;ASSOCIATION FRANÇAISE DES JEUX EN LIGNE (AFJEL);W751209201;RNA
148;FEDERATION BANCAIRE FRANCAISE;434987582;SIREN
148;ASSOC FRANC DES STES FINANC;784669541;SIREN
149;ASSOCIATION FRANCAISE DES CONSEILS EN LOBBYING ET AFFAIRES PUBLIQUES (AFCL);H000000001;HATVP
150;ASSO SOC FRANCAISES D AUTOR;325951903;SIREN
151;ASSOCIATION FRANCAISE DES CONSEILS EN LOBBYING ET AFFAIRES PUBLIQUES (AFCL);H000000001;HATVP
152;SYNDICAT NATIONAL DE L'EDITION;784285066;SIREN
152;FEDERATION ENTREPRISES VENTE A DISTANCE;784854994;SIREN
152;GROUPT FR DE L'INDUSTRIE DE L'INFORMATIO;318949609;SIREN
152;SYNDICAT DE LA PRESSE CULTURELLE ET SCIENTIFIQUE;H927753417;HATVP
152;SYNDICAT DE LA PRESSE ET DE L'EDITION DES PROFESSIONS DE SANTE;H831662073;HATVP
155;HUMEXPO;537478620;SIREN
155;RECH INNOV TRANSFERT TECHN MAT FERT ORG;441508017;SIREN
155;CIE PARTICIPATION ECO EMBALLAGES;388388902;SIREN
155;COLLECTE ET VALORATION DES DECHETS AGRICOLES;437632177;SIREN
155;A.D.I.VALOR;438368409;SIREN
155;ASS NATIONALE PROFESSION ENGRAIS ET AMENDEMENTS;485269328;SIREN
155;ASS  COMIFER;428468920;SIREN
155;ASS FR DE PROTECTION DES PLANTES;388488074;SIREN
155;ASS  SOCIETES FRANCAISE DES GAZONS;428460554;SIREN
155;SOC NAT HORTICULTURE FRANCE;784311680;SIREN
155;A.F.I.S.E;784204539;SIREN
156;ORDRE DES AVOCATS A LA COUR DE PARIS;302979075;SIREN
156;ALINEA AVOCATS ASSOCIES;818695728;SIREN
158;CERCLE NATIONAL DU RECYCLAGE;401476874;SIREN
158;MOUVEMENT ENTREPRISES DE FRANCE;775021462;SIREN
158;AMORCE;751372608;SIREN
158;INSTITUT DE L'ECONOMIE CIRCULAIRE;790867493;SIREN
158;UNION NATIO SERVI PUBLI INDUS & COMME;451534234;SIREN
159;COORDI SOLIDARITE URGENCE DEVELOPPEMENT;398699538;SIREN
159;RESEAU ACTION CLIMAT FRANCE;422466201;SIREN
159;RESEAU ENVIRONNEMENT SANTE;512241456;SIREN
160;ASSOCIATION FRANCAISE DES CONSEILS EN LOBBYING ET AFFAIRES PUBLIQUES (AFCL);H000000001;HATVP
161;SYND NAT DE LA RESTAURATION COLLECTIVE;422475962;SIREN
162;GROUPEMENT NATIONAL DES INDEPENDANTS;822829727;SIREN
163;FEDERATION NATIONALE CINEMAS FRAN;784359200;SIREN
164;PLATEFORME DE LA FILIERE AUTOMOBILE;524965019;SIREN
164;COMITE ORGAN SALON INTERN AUTO;784669178;SIREN
164;ORGANISAT INTERNAT CONSTRUCTEURS AUTOMOB;784358764;SIREN
164;GROUPE DES FEDERATIONS INDUSTRIELLES;404091621;SIREN
164;UNION INDUSTRIES METIERS METALLURGIE;324642933;SIREN
164;ASS UTILISATEURS TRANSPORTS FRET;393985890;SIREN
164;AUTOMOBILE CLUB DE FRANCE;775671324;SIREN
164;UNION ROUTIERE DE FRANCE;784361701;SIREN
164;LA PREVENTION ROUTIERE;775719792;SIREN
164;MOUVEMENT DES ENTREPRISES DE FRANCE;775347453;SIREN
