niveau_intervention;representants_id
Mondial;0
Local;1
National;1
Européen;1
Mondial;1
Local;2
National;2
Européen;2
Local;3
National;3
National;4
Européen;4
Local;5
National;5
Européen;5
National;6
National;7
Local;8
National;8
Européen;8
Local;9
National;9
Local;10
National;10
Européen;10
Local;11
National;11
Européen;11
Local;12
National;12
Local;13
National;14
Local;15
National;15
Européen;15
Local;16
National;16
National;17
Local;18
National;18
Européen;18
Mondial;18
Local;19
National;19
National;20
National;21
Local;22
National;22
Européen;22
Local;23
National;23
Local;24
National;24
National;25
Local;26
National;26
Local;27
National;27
National;28
Européen;28
Local;29
National;29
Européen;29
Mondial;29
Local;30
National;30
Européen;30
National;31
Européen;31
Local;32
National;33
Européen;33
Mondial;33
National;34
Européen;34
National;35
National;36
Européen;36
Mondial;36
Local;37
National;37
National;38
Européen;38
Mondial;38
National;39
Européen;39
Local;40
National;40
Local;41
National;41
National;42
Européen;42
Local;43
National;43
Local;44
National;44
National;45
Européen;45
Local;46
National;47
Européen;47
National;48
Européen;48
National;49
Local;50
National;50
Européen;50
Mondial;50
Local;51
National;51
Européen;51
National;52
National;53
Européen;53
Mondial;53
Local;54
National;54
Européen;54
Mondial;54
National;55
Local;56
National;56
Européen;56
Mondial;56
Local;57
National;57
Local;58
National;58
Européen;58
Local;59
National;59
Mondial;60
Local;61
National;61
Européen;61
Local;62
National;62
Européen;62
Mondial;62
Local;63
National;63
Européen;63
Mondial;63
Local;64
National;64
Européen;64
Mondial;64
Local;65
National;65
Européen;65
Local;66
National;66
Européen;66
Mondial;66
Local;67
National;67
Européen;67
Local;68
National;68
Européen;68
Mondial;68
National;69
Européen;69
Local;70
National;70
Européen;70
Local;71
National;71
National;72
Européen;72
Mondial;72
Local;73
Local;74
National;74
Européen;74
Local;75
National;75
National;76
Européen;76
Local;77
National;77
Européen;77
National;78
Local;79
Local;80
National;80
Européen;80
Local;81
National;81
Européen;81
Mondial;81
National;82
Européen;82
Local;83
Local;84
National;84
Mondial;84
National;85
Européen;85
Local;86
Mondial;87
National;88
Local;89
National;89
Local;90
National;90
Européen;90
Local;91
National;91
Local;92
National;92
Local;93
National;93
Local;94
National;94
Local;95
National;95
Local;96
National;96
Européen;96
Local;97
National;97
Européen;97
Local;98
National;98
Européen;98
Mondial;98
Local;99
National;99
National;100
Mondial;100
Local;101
National;101
Européen;101
Local;102
National;102
Européen;102
Local;103
National;103
Européen;103
Local;104
National;104
Européen;104
Mondial;104
National;105
Européen;105
National;106
Européen;106
Mondial;106
Local;107
National;107
Local;108
National;108
Européen;108
Mondial;108
Local;109
National;109
Local;110
National;110
National;111
Local;112
National;112
Européen;112
Mondial;112
Local;113
Local;114
National;114
Européen;114
Local;115
National;115
Européen;115
Local;116
National;116
Européen;116
Mondial;116
Local;117
National;117
Local;118
National;118
Européen;118
Mondial;118
Local;119
National;119
National;120
Mondial;120
National;121
Européen;121
Local;122
Mondial;123
Local;124
National;124
Européen;124
Local;125
National;125
National;126
National;127
National;128
Européen;128
Local;129
National;129
National;130
Européen;130
Local;131
National;131
National;132
Européen;132
National;133
National;134
Européen;134
National;135
Européen;135
National;136
National;137
Local;138
National;138
Européen;138
Mondial;139
National;140
Local;141
Local;142
National;142
Européen;142
Local;143
National;143
Européen;143
Local;144
Local;145
National;145
Européen;145
Mondial;145
National;146
Européen;146
National;147
Européen;147
National;148
Local;149
National;149
Local;150
National;150
Local;151
National;151
Européen;151
Mondial;151
National;152
Européen;152
Mondial;153
Local;154
National;154
National;155
Européen;155
Local;156
National;156
Local;157
National;157
Européen;157
Local;158
National;158
Européen;158
Local;159
National;159
Européen;159
Mondial;159
Local;160
National;160
Européen;160
Mondial;160
Local;161
National;161
Local;162
National;163
Européen;163
National;164
Européen;164
Mondial;164
Local;165
National;165
Local;166
National;166
Local;167
National;167
Européen;167
Mondial;167
Local;168
National;168
Européen;168
Local;169
National;169
Local;170
National;170
Européen;170
Mondial;170
Local;171
National;171
Européen;171
Mondial;171
Local;172
National;172
Européen;172
Mondial;172
Local;173
National;173
Européen;173
Local;174
National;174
Européen;174
Mondial;174
Local;175
National;175
National;176
Européen;176
National;177
Local;178
National;178
Européen;178
National;179
Local;180
National;180
Européen;180
Mondial;180
Local;181
Mondial;181
Local;182
National;182
Européen;182
Mondial;182
Local;183
National;183
Local;184
National;184
Européen;184
National;185
Local;186
National;186
Européen;186
Local;187
National;187
Européen;187
Mondial;187
Local;188
National;188
Européen;188
National;189
Local;190
National;190
National;191
National;192
Européen;192
Local;193
National;193
Européen;193
Mondial;193
Local;194
National;194
Européen;194
Mondial;194
Local;195
National;195
Local;196
National;196
Européen;196
Mondial;196
National;197
Local;198
National;198
Local;199
National;199
Européen;199
Mondial;199
Local;200
National;200
Local;201
National;201
Européen;201
Mondial;201
Local;202
National;202
Européen;202
Européen;203
Mondial;203
Local;204
National;204
Local;205
National;205
Européen;205
National;206
Européen;206
Local;207
Local;208
Local;209
National;210
Européen;210
National;211
Local;212
National;213
Européen;213
Local;214
National;214
Européen;214
Mondial;214
Local;215
National;215
Européen;215
Mondial;215
Local;216
National;217
National;218
Local;219
National;219
Européen;219
Mondial;219
Local;220
National;220
Local;221
National;221
Européen;221
National;222
Local;223
National;223
Européen;223
Local;224
National;224
Local;225
Local;226
National;226
Européen;226
Mondial;226
Local;227
National;227
Européen;227
Mondial;227
National;228
Européen;228
Mondial;228
Local;229
National;229
Européen;229
Local;230
National;230
Européen;230
Mondial;230
Local;231
National;231
Européen;231
Mondial;231
Local;232
National;232
Européen;232
National;233
Européen;233
National;234
Local;235
Local;236
National;236
Européen;236
National;237
National;238
Local;239
Local;240
National;240
Local;241
National;241
Local;242
National;242
Européen;242
Local;243
National;243
Européen;243
Mondial;244
Local;245
Local;246
National;246
Européen;246
National;247
Européen;247
Mondial;247
National;248
Local;249
National;249
Européen;249
Local;250
National;250
Européen;250
Mondial;250
Local;251
National;251
Européen;251
Local;252
National;252
Européen;252
National;253
Européen;253
Mondial;253
Local;254
National;254
Local;255
National;255
Européen;255
Mondial;255
Local;256
Local;257
National;257
Local;258
National;258
Européen;258
Local;259
National;259
Local;260
National;260
Européen;260
Mondial;260
Local;261
National;261
Européen;261
National;262
Européen;262
Local;263
National;263
Local;264
National;264
