domaines_intervention_actions_menees;activite_id
Impôts;0
Famille;0
Soins et maladies;1
Remboursements;2
Soins et maladies;2
Système de santé et médico-social;2
Soins et maladies;3
Système de santé et médico-social;3
Pêche;4
Bien-être animal;5
Spectacle vivant;6
Bien-être animal;6
Bien-être animal;7
Bien-être animal;8
Pêche;8
Spectacle vivant;9
Bien-être animal;9
Patrimoine;10
Bien-être animal;10
Assurances;11
Droit du travail;12
Assurances;13
Droit du travail;14
Immigration;15
Partenariats public/privé;16
Collectivités territoriales;16
Collectivités territoriales;17
Partenariats public/privé;18
Collectivités territoriales;18
Collectivités territoriales;19
Formation professionnelle;20
Accès à l’Internet;21
Protection des données;21
Accès à l’Internet;22
Finances;23
Partenariats public/privé;23
Collectivités territoriales;24
Fonction publique;25
Partenariats public/privé;26
Droit du travail;27
Marchés réglementés;28
Marchés réglementés;29
Marchés réglementés;30
Marchés réglementés;31
Marchés réglementés;32
Politique industrielle;33
Marchés réglementés;34
Marchés réglementés;35
Marchés réglementés;36
Marchés réglementés;37
Politique industrielle;38
Marchés réglementés;39
Marchés réglementés;40
Politique industrielle;41
Marchés réglementés;42
Marchés réglementés;43
Politique industrielle;43
Finances;44
Justice pénale;44
Droit de la concurrence;45
Bien-être animal;45
Finances;46
Agriculture;46
Professions réglementées;47
Agriculture;47
Formation professionnelle;48
Professions réglementées;49
Bien-être animal;49
Agriculture;49
Professions réglementées;50
Agriculture;50
Droit du travail;51
Bien-être animal;51
Agriculture;51
Aides aux entreprises;52
Finances;53
Taxes;53
Aides aux entreprises;53
Droit du travail;54
Aides aux entreprises;55
Finances;56
Taxes;56
Aides aux entreprises;56
Droit de la concurrence;57
Aides aux entreprises;57
Impact des transports individuels;58
Impact des transports individuels;59
Impact des transports marchands et collectifs;59
Remboursements;60
Prévention;60
Soins et maladies;60
Système de santé et médico-social;60
Système de santé et médico-social;61
Marché du numérique;61
Système de santé et médico-social;62
Formation professionnelle;63
Spectacle vivant;64
Cinéma;64
Musique;64
Assurance chômage;65
Dialogue social;65
Droit du travail;66
Spectacle vivant;66
Audiovisuel;66
Cinéma;66
Musique;66
Droit du travail;67
Spectacle vivant;67
Audiovisuel;67
Cinéma;67
Musique;67
Assurance chômage;68
Droit du travail;68
Formation professionnelle;68
Droit du travail;69
Droits et libertés fondamentales;69
Discriminations;69
Egalité des chances;69
Discriminations;70
Famille;70
Egalité des chances;70
Education;71
Développement économique des outre-mer;71
Egalité des chances;71
Education;72
Formation professionnelle;72
Famille;72
Egalité des chances;72
Taxes;73
Marché du numérique;73
Taxes;74
Marché du numérique;74
Marché du numérique;75
Tourisme/hôtellerie;76
Logement;76
Marché du numérique;76
Formation professionnelle;77
Taxes;78
Impôts;78
Taxes;79
Impôts;79
Taxes;80
Impôts;80
Taxes;81
Impôts;81
Taxes;82
Impôts;82
Taxes;83
Impôts;83
Taxes;84
Impôts;84
Taxes;85
Impôts;85
Taxes;86
Impôts;86
Taxes;87
Impôts;87
Transport de fret;88
Impact des transports marchands et collectifs;88
Transport de fret;89
Droit du travail;89
Institutions européennes;89
Impact des transports marchands et collectifs;89
Accords internationaux;89
Taxes;90
Politique industrielle;90
Collectivités territoriales;90
Infrastructures;90
Taxes;91
Transport de fret;91
Impact des transports marchands et collectifs;91
Sécurité routière;91
Infrastructures;91
Retraites;92
Transport de fret;92
Marchés réglementés;93
Agriculture;93
Agriculture;94
Agriculture;95
Taxes;96
Agriculture;96
Budget;96
Impôts;97
Agriculture;97
Professions réglementées;98
Médicaments;98
Système de santé et médico-social;98
E-commerce;98
Prévention;99
Soins et maladies;99
Système de santé et médico-social;99
Protection des données;99
Professions réglementées;100
Système de santé et médico-social;100
Médicaments;101
Système de santé et médico-social;101
Soins et maladies;102
Système de santé et médico-social;102
Bâtiments et travaux publics;103
Logement;103
Construction;103
Bâtiments et travaux publics;104
Logement;104
Bâtiments et travaux publics;105
Logement;106
Budget;106
Bâtiments et travaux publics;107
Logement;107
Construction;107
Budget;107
PME/TPE;108
Bâtiments et travaux publics;108
Bâtiments et travaux publics;109
Construction;109
Bâtiments et travaux publics;110
Construction;110
Occupation des sols;111
Bâtiments et travaux publics;111
Logement;111
Construction;111
Bâtiments et travaux publics;112
Logement;112
Construction;112
Bâtiments et travaux publics;113
Logement;113
Construction;113
Taxes;114
Impôts;114
Bâtiments et travaux publics;114
Droit du travail;115
Bâtiments et travaux publics;115
Construction;115
Occupation des sols;116
Bâtiments et travaux publics;116
Logement;116
Construction;116
Budget;116
Bâtiments et travaux publics;117
Logement;118
Bâtiments et travaux publics;119
Taxes;120
Industrie agroalimentaire;120
Déchets;121
Industrie agroalimentaire;121
Industrie agroalimentaire;122
Déchets;123
Industrie agroalimentaire;123
Déchets;124
Industrie agroalimentaire;124
Industrie agroalimentaire;125
Industrie agroalimentaire;126
Accords internationaux;126
Déchets;127
Industrie agroalimentaire;127
Industrie agroalimentaire;128
Finances;129
Banques;129
Finances;130
Banques;130
Taxes;131
Budget;131
Taxes;132
Budget;132
Taxes;133
Impôts;133
Développement des territoires;133
Infrastructures;134
Taxes;135
Prévention;136
Soins et maladies;136
Remboursements;137
Prévention;137
Soins et maladies;137
Système de santé et médico-social;137
Remboursements;138
Prévention;138
Soins et maladies;138
Système de santé et médico-social;138
Remboursements;139
Prévention;139
Soins et maladies;139
Taxes;140
Remboursements;140
Soins et maladies;140
Système de santé et médico-social;140
Droit de la concurrence;141
Taxes;142
Impôts;142
PME/TPE;143
Taxes;144
Impôts;144
Taxes;145
Impôts;145
PME/TPE;146
Aides aux entreprises;146
E-commerce;146
Droit de la concurrence;147
PME/TPE;147
Taxes;148
Impôts;148
Taxes;149
Impôts;149
PME/TPE;150
PME/TPE;151
PME/TPE;152
Aides aux entreprises;152
E-commerce;152
PME/TPE;153
Aides aux entreprises;153
E-commerce;153
Droit de la concurrence;154
PME/TPE;154
Droit de la concurrence;155
PME/TPE;155
Taxes;156
Impôts;156
PME/TPE;157
Taxes;158
Impôts;158
Taxes;159
Impôts;159
E-commerce;159
PME/TPE;160
PME/TPE;161
PME/TPE;162
Aides aux entreprises;162
PME/TPE;163
PME/TPE;164
Taxes;165
Impôts;165
PME/TPE;166
PME/TPE;167
PME/TPE;168
PME/TPE;169
Finances;170
PME/TPE;171
PME/TPE;172
PME/TPE;173
Taxes;174
Impôts;174
Droit de la concurrence;175
PME/TPE;176
Taxes;177
Collectivités territoriales;177
Développement des territoires;177
Sécurité routière;177
Infrastructures;177
Développement économique des outre-mer;178
Ressources minières;178
Développement économique des outre-mer;179
Ressources minières;179
PME/TPE;180
PME/TPE;181
PME/TPE;182
PME/TPE;183
PME/TPE;184
Droit de la concurrence;185
PME/TPE;186
PME/TPE;187
PME/TPE;188
PME/TPE;189
PME/TPE;190
PME/TPE;191
PME/TPE;192
PME/TPE;193
PME/TPE;194
PME/TPE;195
PME/TPE;196
Institutions européennes;197
Agriculture;197
Taxes;198
Impôts;198
Agriculture;198
Budget;198
Taxes;199
Impôts;199
Agriculture;199
Forêt;200
Agriculture;200
Développement des territoires;201
Forêt;202
Agriculture;202
Forêt;203
Agriculture;203
Forêt;204
Agriculture;204
Impôts;205
PME/TPE;205
Agriculture;205
PME/TPE;206
Forêt;206
Développement des territoires;206
Agriculture;206
Remboursements;207
Humanitaire;208
Aide au développement;208
Egalité femmes/hommes;208
Aide au développement;209
Egalité femmes/hommes;209
Aide au développement;210
Egalité femmes/hommes;210
Budget;210
Humanitaire;211
Aide au développement;211
Asile;212
Système de santé et médico-social;212
Immigration;212
Système de santé et médico-social;213
Asile;214
Immigration;214
Asile;215
Immigration;215
Aide au développement;216
Egalité femmes/hommes;216
Humanitaire;217
Aide au développement;218
Egalité femmes/hommes;218
Budget;218
Humanitaire;219
Budget;219
Système de santé et médico-social;220
Asile;221
Immigration;221
Système de santé et médico-social;222
Asile;223
Immigration;223
Déchets;224
Politique industrielle;225
Droit du travail;226
Droit du travail;227
Formation professionnelle;227
Taxes;228
Impôts;228
Politique industrielle;228
Budget;228
Taxes;229
Budget;229
Dialogue social;230
Droit du travail;230
Agriculture;231
Agriculture;232
Agriculture;233
Agriculture;234
Agriculture;235
Agriculture;236
Bâtiments et travaux publics;237
Logement;237
Logement;238
Politique industrielle;239
Impact de l'activité industrielle;239
Ressources minières;239
Politique industrielle;240
Impact de l'activité industrielle;240
Ressources minières;240
Bâtiments et travaux publics;241
Logement;241
Agriculture;242
Prévention;243
Industrie agroalimentaire;243
Sécurité et normes alimentaires;244
Appellations;244
Industrie agroalimentaire;244
Agriculture;244
Bâtiments et travaux publics;245
Logement;245
Bâtiments et travaux publics;246
Logement;246
Bâtiments et travaux publics;247
Logement;247
Politique industrielle;248
Impact de l'activité industrielle;248
