activite_id;exercices_id;date_publication_activite;identifiant_fiche;objet_activite
0;5;2019-07-11;DC34M91H;"Publication et présentation du livre blanc de la FESP : ""Succès et ambitions des services à la personne en France : les promesses de la contemporanéité du crédit d'impôt"""
1;15;2019-07-11;5DHM8RZH;Améliorarion des connaissances des professionnels de santé sur la biologie d'urgence. Symposium biologie d'urgence et gaz du sang Antibes juin 2018
2;17;2019-03-29;C5HAG5XH;Réforme du financement du système de santé : obtenir l'accès à certaines cotations
3;17;2019-03-29;IYVN0IYV;Ma Santé 2022 : faire reconnaitre la place de SOS Médecins dans le système de soins
4;20;2019-05-29;4UHQ80I3;Inscrire dans la réglementation l'interdiction de la pêche au vif
5;20;2019-05-29;IO3WN0W3;"Inscrire dans la réglementation l'interdiction de la pêche à Paris
"
6;20;2019-05-29;PO381I7V;Inscrire dans la loi ou par voie réglementaire l'interdiction de la présence des animaux dans les cirques
7;21;2019-05-07;CLV1M8D3;Abandonner l'empoisonnement massif des rongeurs à Paris
8;21;2019-05-07;40VECB03;Inscrire dans la réglementation l'interdiction de la pêche à Paris
9;21;2019-05-07;S0V2M8AV;Inscrire dans la loi ou par voie réglementaire l'interdiction de la présence des animaux dans les cirques
10;21;2019-05-12;SQV72MC3;Rendre hommage aux animaux de guerre à Paris (création d'un monument)
11;23;2019-04-02;FX3CX9G3;demande de création d'un observatoire de l'assurance
12;23;2019-04-02;IYVNY95H;demander de l'aide à la députée du Nord Madame Brigitte Liso pour recruter du personnel dans les carrosserie
13;24;2018-07-06;K6VBGAEH;suite à de nombreuses plaintes de nos adhérents nous avons demandé au député de saisir le ministre afin qu'il fasse respecter la loi 2014-344
14;32;2019-03-28;X2VRX20V;Sécuriser le dispositif des contrats aidés dans les PIMMS
15;32;2019-03-28;KDVSA16V;optimiser l'accueil des postulants à la nationalité française et améliorer les taux de complétude des dossiers
16;32;2019-03-28;2ZV9EMMV;Renforcer la présence de la Maison de services public / PIMMS sur le territoire du Lot
17;32;2019-03-28;Z0V5K473;Renforcer la Maison de services au public de Sartrouville
18;32;2019-03-28;GJVDUKXH;Améliorer la qualité de service des Maisons de services au public en intervenant sur le cahier des charges - proposer des évolutions / améliorations
19;32;2019-03-28;GJVDUEXH;Inaugurer le PIMMS de Béthune pour faciliter l'accès aux services publics et aux droits sociaux des populations
20;32;2019-03-28;KQ36UWNH;Proposer des actions de formation au réseau Maison de services au public auprès de la caisse des dépôts
21;32;2019-03-28;KW3UEJQV;valoriser l'action du réseau des PIMMS en matière d'inclusion numérique
22;32;2019-03-28;S0V2KD03;communiquer sur le réseau des PIMMS et son rôle pour l'accompagnement des personnes fragiles dans la numérisation des services publics
