secteur_activite;representants_id
Energie;0
Economie;1
Travail, emploi, solidarité;1
Gouvernance d’entreprise;1
Environnement;1
Outre-mer;1
Transports, logistique;1
Concurrence, consommation;2
Economie;2
Education, enseignement supérieur, formation;2
Travail, emploi, solidarité;2
Fiscalité, finances publiques;2
Gouvernance d’entreprise;2
Numérique;2
Outre-mer;2
Questions de société;2
Agriculture, alimentation, pêche;3
Arts, patrimoine culturel;3
Banques, assurances, secteur financier;3
Economie;3
Energie;3
Environnement;3
Logement, aménagement du territoire, urbanisme;3
Numérique;3
Education, enseignement supérieur, formation;4
Recherche, innovation;4
Professions réglementées;4
Santé, sécurité sociale;4
Agriculture, alimentation, pêche;5
Concurrence, consommation;5
Economie;5
Education, enseignement supérieur, formation;5
Recherche, innovation;5
Fiscalité, finances publiques;5
Gouvernance d’entreprise;5
Environnement;5
Logement, aménagement du territoire, urbanisme;5
Pouvoirs publics, institutions, fonction publique;5
Professions réglementées;5
Santé, sécurité sociale;5
Santé, sécurité sociale;6
Santé, sécurité sociale;7
Agriculture, alimentation, pêche;8
Arts, patrimoine culturel;8
Education, enseignement supérieur, formation;8
Travail, emploi, solidarité;8
Energie;8
Environnement;8
Justice;8
Logement, aménagement du territoire, urbanisme;8
Médias, industries culturelles;8
Numérique;8
Pouvoirs publics, institutions, fonction publique;8
Propriété intellectuelle;8
Questions migratoires;8
Santé, sécurité sociale;8
Questions de société;8
Sports, loisirs, tourisme;8
Communications électroniques;8
Arts, patrimoine culturel;9
Environnement;9
Questions de société;9
Sports, loisirs, tourisme;9
Concurrence, consommation;10
Concurrence, consommation;11
Défense, sécurité;11
Economie;11
Recherche, innovation;11
Fiscalité, finances publiques;11
Numérique;11
Pouvoirs publics, institutions, fonction publique;11
Propriété intellectuelle;11
Communications électroniques;11
Défense, sécurité;12
Economie;12
Travail, emploi, solidarité;12
Justice;12
Logement, aménagement du territoire, urbanisme;12
Outre-mer;12
Propriété intellectuelle;12
Questions de société;12
Pouvoirs publics, institutions, fonction publique;13
Travail, emploi, solidarité;14
Logement, aménagement du territoire, urbanisme;14
Numérique;14
Economie;15
Travail, emploi, solidarité;15
Recherche, innovation;15
Fiscalité, finances publiques;15
Gouvernance d’entreprise;15
Agriculture, alimentation, pêche;16
Concurrence, consommation;16
Economie;16
Education, enseignement supérieur, formation;16
Travail, emploi, solidarité;16
Banques, assurances, secteur financier;17
Fiscalité, finances publiques;17
Pouvoirs publics, institutions, fonction publique;17
Professions réglementées;17
Commerce extérieur;18
Défense, sécurité;18
Economie;18
Energie;18
Fiscalité, finances publiques;18
Environnement;18
Numérique;18
Communications électroniques;18
Economie;19
Education, enseignement supérieur, formation;19
Travail, emploi, solidarité;19
Recherche, innovation;19
Fiscalité, finances publiques;19
Environnement;19
Questions de société;19
Banques, assurances, secteur financier;20
Concurrence, consommation;20
Economie;20
Travail, emploi, solidarité;20
Energie;20
Fiscalité, finances publiques;20
Environnement;20
Pouvoirs publics, institutions, fonction publique;20
Santé, sécurité sociale;20
Transports, logistique;20
Santé, sécurité sociale;21
Communications électroniques;21
Arts, patrimoine culturel;22
Education, enseignement supérieur, formation;22
Travail, emploi, solidarité;22
Médias, industries culturelles;22
Numérique;22
Education, enseignement supérieur, formation;23
Travail, emploi, solidarité;23
Fiscalité, finances publiques;23
Outre-mer;23
Questions de société;23
Concurrence, consommation;24
Economie;24
Travail, emploi, solidarité;24
Numérique;24
Education, enseignement supérieur, formation;25
Education, enseignement supérieur, formation;26
Numérique;26
Education, enseignement supérieur, formation;27
Environnement;27
Médias, industries culturelles;27
Numérique;27
Communications électroniques;27
Fiscalité, finances publiques;28
Economie;29
Travail, emploi, solidarité;29
Fiscalité, finances publiques;29
Environnement;29
Transports, logistique;29
Agriculture, alimentation, pêche;30
Concurrence, consommation;30
Economie;30
Education, enseignement supérieur, formation;30
Travail, emploi, solidarité;30
Fiscalité, finances publiques;30
Gouvernance d’entreprise;30
Environnement;30
Pouvoirs publics, institutions, fonction publique;30
Transports, logistique;30
Professions réglementées;31
Santé, sécurité sociale;31
Economie;32
Education, enseignement supérieur, formation;32
Travail, emploi, solidarité;32
Environnement;32
Logement, aménagement du territoire, urbanisme;32
Médias, industries culturelles;33
Agriculture, alimentation, pêche;34
Travail, emploi, solidarité;34
Fiscalité, finances publiques;34
Pouvoirs publics, institutions, fonction publique;34
Agriculture, alimentation, pêche;35
Banques, assurances, secteur financier;36
Economie;37
Education, enseignement supérieur, formation;37
Travail, emploi, solidarité;37
Fiscalité, finances publiques;37
Santé, sécurité sociale;37
Affaires étrangères, coopération internationale;38
Questions migratoires;38
Questions de société;38
Banques, assurances, secteur financier;39
Commerce extérieur;40
Economie;40
Education, enseignement supérieur, formation;40
Environnement;40
Logement, aménagement du territoire, urbanisme;40
Banques, assurances, secteur financier;41
Travail, emploi, solidarité;41
Santé, sécurité sociale;41
Agriculture, alimentation, pêche;42
Concurrence, consommation;42
Economie;42
Fiscalité, finances publiques;42
Gouvernance d’entreprise;42
Logement, aménagement du territoire, urbanisme;42
Numérique;42
Propriété intellectuelle;42
Economie;43
Fiscalité, finances publiques;43
Environnement;43
Pouvoirs publics, institutions, fonction publique;43
Transports, logistique;43
Economie;44
Travail, emploi, solidarité;44
Energie;44
Environnement;44
Logement, aménagement du territoire, urbanisme;44
Pouvoirs publics, institutions, fonction publique;44
Santé, sécurité sociale;44
Transports, logistique;44
Défense, sécurité;45
Energie;45
Recherche, innovation;45
Environnement;45
Justice;45
Energie;46
Outre-mer;46
Concurrence, consommation;47
Economie;47
Agriculture, alimentation, pêche;48
Economie;48
Travail, emploi, solidarité;48
Fiscalité, finances publiques;48
Environnement;48
Santé, sécurité sociale;49
Affaires étrangères, coopération internationale;50
Environnement;50
Questions migratoires;50
Santé, sécurité sociale;50
Concurrence, consommation;51
Economie;51
Travail, emploi, solidarité;51
Fiscalité, finances publiques;51
Environnement;51
Economie;52
Santé, sécurité sociale;52
Banques, assurances, secteur financier;53
Economie;53
Gouvernance d’entreprise;53
Education, enseignement supérieur, formation;54
